Club or Program,Purpose and Services,Tags,Website
Administration of Justice (AOJ/XTE),"The purpose of this organization shall be to foster, promote, and maintain a relationship between the students of the Administration of Justice department and the Criminal Justice System. This relationship will develop programs offering cultural, social, and academic enrichment as part of the total experience of the college; and to the development of leadership, character, and judgment.",SOCIAL SCIENCE,https://www.ivc.edu/clubs/aoj
Dance,"The IVC Dance Department�s mission is to provide a high quality, comprehensive dance program dedicated to excellence and committed to meeting the current and future learning needs of our diverse community.",ARTS,https://www.ivc.edu/clubs/aoj
Forensics/Speech and Debate,"The Irvine Valley College Speech and Debate Team has a rich history at IVC, winning its first national championship title in 1982. Since that time team members have gone on to graduate from many distinguished universities including UCLA, UC Berkeley, Cornell University, and even Harvard Law School! Many notable alumni have used their skills acquired during forensics to become reputable attorneys, judges, professors, and other prominent positions across career fields. Given its long tradition in forensics competition, it is no surprise that the IVC Speech Team is one of the most respected and accomplished teams in the nation. The squad regularly competes against colleges and universities throughout the United States. Over the past 15 years, the team has placed in the top three at 12 state championships, while winning 12 league championships. Since 2000, the team was crowned the national champions in the community college division of the National Parliamentary Debate Association 11 times. The team also has an international reputation and has hosted debate teams from across the world including Europe, Asia, and Africa on 20 occasions. The team has traveled several times to China for debate demonstrations, competitions, and study abroad programs. Most recently, the team expanded their international presence by competing in the International Forensics Association Championship in Berlin, Germany.",SOCIAL SCIENCE,https://www.ivc.edu/clubs/forensics
IVC Psi Beta Chapter,"Psi Beta's mission is to promote professional development and psychological literacy of all students at two-year colleges through promotion and recognition of excellence in scholarship, leadership, research, and community service.",GENERAL,https://www.ivc.edu/clubs/psibeta
MUN/ Political Science Club,"Founded in 1997, the IVC Model United Nations Team competes and wins awards in several conferences each year. The Model United Nations is a world-wide educational enterprise begun more than 60 years ago by American students interested in learning first-hand the processes of international diplomacy. In the United States, more than 60,000 students from sixth grade through graduate school take part in one or more Model United Nations conferences each year. Role play is an essential element of the Model United Nations experience. The Model UN is a simulation of the United Nations system. Students assume the role of ""ambassadors"" to the United Nations and debate current issues on the UN's agenda at conferences lasting between one and five days. Through diplomacy and negotiation, Model UN students seek out solutions to complex global concerns such as the environment, economic development, refugees, human health and disease, conflict resolution, and human rights. Student participants in the Model UN not only learn about specific countries and issues but also about the complexities of politics in a multilateral setting. Students learn the importance of the respect for the rule of law, civil discourse, the peaceful competition of ideas, and consensus- building through governing institutions.Ultimately, participants emerge from the Model UN experience more diplomatic, knowledgeable, conscientious, and concerned. Participants better understand social change through democratic institutions, better appreciate the perspectives of others, and are accountable for their own opinions. The Model UN teaches students the importance of tolerance and the pertinence of resolving differences through dialogue and compromise.",LEADERSHIP,https://www.ivc.edu/clubs/mun
Phi Theta Kappa (Honors Society),"Established in 1929, Phi Theta Kappa is the only national honor society for two-year institutions. Phi Theta Kappas mission is to recognize academic excellence and provide academic and leadership development opportunities for our members. In order to achieve our mission, we provide a safe space to develop professional and leadership skills, identify and research issues, earn scholarships, explore career paths  and broaden our horizons.","ACADEMIC, LEADERSHIP",https://www.ivc.edu/clubs/ptk
Accounting Club,"The IVC Accounting Club is committed to providing students with opportunities to develop their accounting knowledge and practical skills. Our mission is to create a supportive environment for learning, networking, and professional growth through workshops, guest speakers, and real-world applications. We aim to prepare members for successful careers in accounting and related fields while fostering leadership and collaboration.",BUSINESS,https://www.ivc.edu/clubs/accounting-club
Album Listening Club,"Foster a fun and enlightening environment for music enthusiasts, where we can appreciate, explore, debate, and discover albums together.",ARTS,https://www.ivc.edu/clubs/album-listening
Alliance Club,"The ALLIANCE Club is dedicated to bringing together all individuals who have immigrated to this country, including undocumented students, to form a supportive and empowering community. Our mission is to provide valuable resources that many immigrant and undocumented students may not be aware of, while also advocating for their rights and potential. We aim to create opportunities for personal and professional growth through volunteering, community service, and networking initiatives. By fostering leadership and inclusivity, we strive to help members overcome challenges, develop new skills, and build a successful future.",GENERAL,https://www.ivc.edu/clubs/alliance-club
Anthropology Club,"The Anthropology Society Club promotes the awareness and enrichment of anthropological sciences and their applications in a multitude of careers, fields, and nonprofit work. Our events and activities promote the exploration of different cultures and the discussion of diversity and anthropology in a variety of academic fields. Students will be stimulated with community and volunteer work, guest and student presentations, museum trips, and an end-of-the-year ethnic potluck.",SOCIAL SCIENCE,https://www.ivc.edu/clubs/anthropology
Applied Science & Engineering (ASEC),"ASEC strives to offer hands-on STEM projects to all students in a safe environment while growing other major skills, including leadership, foundational engineering, mathematics, physics, & science principles, and team building experience. ASEC holds biweekly projects and meetings in BSTIC 104, provides supplies and education for projects, hosts guest speakers, invites students to tour off-campus STEM facilities, provides transfer resources for engineering students, connects members with potential internship positions, holds end-of-the-year elections for general members to acquire leadership roles for the following term, coordinates yearly volunteering opportunities, and provides meeting minutes and budgets for ASIVC for club transparency",STEM,https://www.ivc.edu/clubs/asec
Arab Heritage Club,"Our goal is to bring the Middle East and North Africa front and center, highlighting its history and impact across the world at IVC. Arab Heritage Club is not just a community for Arab students, but also welcomes students of all backgrounds to help raise awareness of our impact and prevalence around the world. We differ from Muslim Student Association in that we focus on middle eastern culture, not religion. The MENA region is very diverse and rich, and AHC helps us to finally shed light onto the impact of Arab / MENA culture and societies, in addition to bringing long-overdue representation for many Middle Eastern students here in Irvine Valley College. We are thrilled to use this opportunity to broaden our already diverse diaspora of representation at IVC.",MULTICULTURAL,https://www.ivc.edu/clubs/arab-heritage-club
