label,2yr,5yr,10yr,major
Unnamed: 0,2   ,5   ,10  ,Major
Percentile (75) of Annual Earnings,"$49,913","$71,622","$102,268",ArtHistory
Median Annual Earnings,"$38,804","$51,245","$77,691",ArtHistory
Percentile (25) of Annual Earnings,"$22,729","$30,408","$58,938",ArtHistory
EarnersCount,290,275,236,ArtHistory
Count of Number of Records,290,276,236,ArtHistory
Percentile (75) of Annual Earnings,"$54,166","$73,285","$117,340",AsianAmericanStudies
Median Annual Earnings,"$43,238","$58,123","$74,620",AsianAmericanStudies
Percentile (25) of Annual Earnings,"$31,030","$38,428","$56,260",AsianAmericanStudies
EarnersCount,129,123,96,AsianAmericanStudies
Count of Number of Records,129,123,96,AsianAmericanStudies
Percentile (75) of Annual Earnings,"$93,067","$116,100","$161,152",AerospaceEngineering
Median Annual Earnings,"$74,010","$101,445","$127,832",AerospaceEngineering
Percentile (25) of Annual Earnings,"$51,340","$79,424","$91,790",AerospaceEngineering
EarnersCount,341,219,128,AerospaceEngineering
Count of Number of Records,341,219,128,AerospaceEngineering
Percentile (75) of Annual Earnings,"$56,772","$75,447","$109,811",ArtStudio
Median Annual Earnings,"$40,487","$55,981","$76,722",ArtStudio
Percentile (25) of Annual Earnings,"$24,139","$37,030","$52,079",ArtStudio
EarnersCount,805,779,786,ArtStudio
Count of Number of Records,805,779,786,ArtStudio
Percentile (75) of Annual Earnings,"$63,036","$95,957","$178,885",Biochemistry- Molecular Biology
Median Annual Earnings,"$47,406","$75,733","$129,269",Biochemistry- Molecular Biology
Percentile (25) of Annual Earnings,"$31,332","$44,549","$79,790",Biochemistry- Molecular Biology
EarnersCount,130,72,122,Biochemistry- Molecular Biology
Count of Number of Records,130,72,122,Biochemistry- Molecular Biology
Percentile (75) of Annual Earnings,"$45,666",,,African-American Studies
Median Annual Earnings,"$34,809",,,African-American Studies
Percentile (25) of Annual Earnings,"$22,642",,,African-American Studies
EarnersCount,39,,,African-American Studies
Count of Number of Records,39,,,African-American Studies
Percentile (75) of Annual Earnings,"$51,253","$71,669",,Art
Median Annual Earnings,"$34,625","$49,633",,Art
Percentile (25) of Annual Earnings,"$19,949","$30,457",,Art
EarnersCount,287,143,,Art
Count of Number of Records,287,143,,Art
Percentile (75) of Annual Earnings,"$64,513","$102,057","$146,300",AppliedEcology
Median Annual Earnings,"$52,966","$76,582","$106,105",AppliedEcology
Percentile (25) of Annual Earnings,"$31,443","$49,276","$75,370",AppliedEcology
EarnersCount,128,134,171,AppliedEcology
Count of Number of Records,128,134,171,AppliedEcology
Percentile (75) of Annual Earnings,"$67,358",,,AppliedPhysics
Median Annual Earnings,"$59,985",,,AppliedPhysics
Percentile (25) of Annual Earnings,"$39,558",,,AppliedPhysics
EarnersCount,42,,,AppliedPhysics
Count of Number of Records,42,,,AppliedPhysics
Percentile (75) of Annual Earnings,"$54,904","$77,851","$119,495",Anthopology
